*** 令和６年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝433173,平均正答率＝0.6031,,,
科目＝国語,総平均点＝116.50,,,,
大問,解答番号,平均点,配点,得点率,正答率
問題区分＝本試験,人数＝312255,平均正答率＝0.5790,,,
科目＝数学Ⅱ・数学Ｂ,総平均点＝57.74,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,18.564,30,0.6188,0.6383
1,ｱ,0.955,1,0.9548,0.9548
1,ｲ-ｳ,0.886,1,0.886,0.886
1,ｴ-ｵ,1.59,2,0.7952,0.7952
1,ｶ,2.165,3,0.7218,0.7218
1,ｷ,1.396,3,0.4652,0.4652
1,ｸ,1.312,2,0.6559,0.6559
1,ｹ,1.134,3,0.3779,0.3779
1,ｺ-ｼ,1.771,2,0.8854,0.8854
1,ｽ-ｾ,1.866,2,0.933,0.933
1,ｿ-ﾀ,0.871,1,0.8708,0.8708
1,ﾁ,1.585,3,0.5284,0.5284
1,ﾂ,0.689,1,0.6888,0.6888
1,ﾃ-ﾄ,1.183,2,0.5917,0.5917
1,ﾅ,0.307,1,0.307,0.307
1,ﾆ-ﾇ,0.607,2,0.3036,0.3036
1,ﾈ-ﾉ,0.248,1,0.2479,0.2479
2,合計,16.636,30,0.5545,0.6138
2,ｱ-ｲ,1.852,2,0.9258,0.9258
2,ｳ-ｴ,0.912,1,0.9115,0.9115
2,ｵ-ｷ,1.775,2,0.8877,0.8877
2,ｸ,0.853,1,0.853,0.853
2,ｹ-ｺ,0.793,1,0.7928,0.7928
2,ｻ,0.837,1,0.8374,0.8374
2,ｼ,0.804,1,0.8036,0.8036
2,ｽ,2.059,3,0.6863,0.6863
2,ｾ-ｿ,1.053,2,0.5265,0.5265
2,ﾀ,0.677,2,0.3387,0.3387
2,ﾁ,1.295,4,0.3236,0.3236
2,ﾂ,0.646,2,0.323,0.323
2,ﾃ,0.612,1,0.6121,0.6121
2,ﾄ-ﾅ,1.41,3,0.47,0.47
2,ﾆ-ﾇ,0.449,2,0.2247,0.2247
2,ﾈ,0.609,2,0.3047,0.3047
3,合計,3.954,20,0.1977,0.2251
3,ｱ,0.874,2,0.4372,0.4372
3,ｲ,0.709,2,0.3546,0.3546
3,ｳ-ｴ,0.937,3,0.3124,0.3124
3,ｵ,0.365,3,0.1218,0.1218
3,ｶ,0.875,3,0.2917,0.2917
3,ｷ-ｸ,0.116,3,0.0387,0.0387
3,ｹ-ｻ,0.077,4,0.0193,0.0193
4,合計,12.649,20,0.6324,0.696
4,ｱ-ｴ,1.861,2,0.9306,0.9306
4,ｵ-ｶ,1.894,2,0.9472,0.9472
4,ｷ-ｺ,1.787,3,0.5958,0.5958
4,ｻ,0.83,1,0.83,0.83
4,ｼ-ｿ,1.534,2,0.767,0.767
4,ﾀ-ﾂ,1.799,3,0.5997,0.5997
4,ﾃ,1.941,3,0.6471,0.6471
4,ﾄ,1.002,4,0.2504,0.2504
5,合計,10.601,20,0.5301,0.5839
5,ｱ-ｴ,1.851,2,0.9254,0.9254
5,ｵ,1.586,2,0.7928,0.7928
5,ｶ,2.072,3,0.6907,0.6907
5,ｷ-ｻ,1.533,3,0.5112,0.5112
5,ｼ,1.601,3,0.5338,0.5338
5,ｽ,1.729,3,0.5765,0.5765
5,ｾ-ﾉ,0.229,4,0.0571,0.0571
問題区分＝本試験,人数＝1323,平均正答率＝0.5192,,,
科目＝簿記・会計,総平均点＝51.84,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,22.912,40,0.5728,0.5728
1,ｱ,0.7,2,0.35,0.35
1,ｲ,0.658,2,0.3288,0.3288
1,ｳ,1.321,2,0.6606,0.6606
1,ｴ,1.25,2,0.6251,0.6251
1,ｵ,1.067,2,0.5336,0.5336
1,ｶ,1.348,2,0.6742,0.6742
1,ｷ,0.547,2,0.2736,0.2736
1,ｸ,0.971,2,0.4853,0.4853
1,ｹ,0.606,2,0.3031,0.3031
1,ｺ,1.224,2,0.6122,0.6122
1,ｻ,1.675,2,0.8375,0.8375
1,ｼ,1.838,2,0.9191,0.9191
1,ｽ,1.111,2,0.5556,0.5556
1,ｾ,1.155,2,0.5775,0.5775
1,ｿ,1.787,2,0.8934,0.8934
1,ﾀ,1.429,2,0.7143,0.7143
1,ﾁ,0.449,2,0.2245,0.2245
1,ﾂ,1.243,2,0.6213,0.6213
1,ﾃ,1.123,2,0.5616,0.5616
1,ﾄ,1.409,2,0.7045,0.7045
2,合計,16.733,30,0.5578,0.5578
2,ｱ,1.504,2,0.7521,0.7521
2,ｲ,0.33,2,0.1648,0.1648
2,ｳ,1.728,2,0.8639,0.8639
2,ｴ-ｶ,1.586,2,0.7929,0.7929
2,ｷ-ｹ,0.75,2,0.3749,0.3749
2,ｺ-ｻ,1.823,2,0.9116,0.9116
2,ｼ-ｽ,0.656,2,0.328,0.328
2,ｾ-ﾀ,1.395,2,0.6977,0.6977
2,ﾁ,0.943,2,0.4717,0.4717
2,ﾂ,1.3,2,0.65,0.65
2,ﾃ,1.332,2,0.6659,0.6659
2,ﾄ,0.776,2,0.3878,0.3878
2,ﾅ-ﾇ,1.116,2,0.5578,0.5578
2,ﾈ-ﾊ,0.632,2,0.3159,0.3159
2,ﾋ,0.863,2,0.4316,0.4316
3,合計,12.19,30,0.4063,0.4161
3,ｱ,1.543,2,0.7717,0.7717
3,ｲ-ｳ,0.546,2,0.2729,0.2729
3,ｴ,0.913,2,0.4565,0.4565
3,ｵ-ｷ,0.819,2,0.4097,0.4097
3,ｸ-ｺ,0.269,2,0.1345,0.1345
3,ｻ-ｼ,0.551,1,0.551,0.551
3,ｽ-ｾ,0.573,2,0.2865,0.2865
3,ｿ-ﾀ,0.689,2,0.3447,0.3447
3,ﾁ,1.093,2,0.5465,0.5465
3,ﾂ-ﾃ,0.466,2,0.2328,0.2328
3,ﾄ-ﾆ,0.555,2,0.2774,0.2774
3,ﾇ-ﾈ,1.002,2,0.5011,0.5011
3,ﾉ-ﾊ,1.209,2,0.6047,0.6047
3,ﾋ-ﾌ,0.337,2,0.1686,0.1686
3,ﾍ,1.051,2,0.5253,0.5253
3,ﾎ,0.574,1,0.5737,0.5737
問題区分＝本試験,人数＝381,平均正答率＝0.5718,,,
科目＝情報関係基礎,総平均点＝59.11,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,20.69,30,0.6897,0.7048
1,ｱ,1.969,2,0.9843,0.9843
1,ｲ,0.987,1,0.9869,0.9869
1,ｳ,0.787,1,0.7874,0.7874
1,ｴ-ｵ,1.827,2,0.9134,0.9134
1,ｶ,1.06,2,0.5302,0.5302
1,ｷ,0.667,2,0.3333,0.3333
1,ｸ,0.719,2,0.3596,0.3596
1,ｹ,1.948,2,0.9738,0.9738
1,ｺ,1.916,2,0.958,0.958
1,ｻ,1.654,2,0.8268,0.8268
1,ｼ,1.522,2,0.7612,0.7612
1,ｽ,1.207,2,0.6037,0.6037
1,ｾ,0.711,1,0.7113,0.7113
1,ｿ-ﾁ,0.73,2,0.3648,0.3648
1,ﾂ,0.787,1,0.7874,0.7874
1,ﾃ,1.454,2,0.727,0.727
1,ﾄ,0.745,2,0.3727,0.3727
2,合計,23.591,35,0.674,0.6796
2,ｱ,1.764,2,0.8819,0.8819
2,ｲ,1.659,2,0.8294,0.8294
2,ｳ-ｴ,1.496,2,0.748,0.748
2,ｵ,1.449,2,0.7244,0.7244
2,ｶ,2.173,3,0.7244,0.7244
2,ｷ-ｸ,1.57,2,0.7848,0.7848
2,ｹ-ｺ,1.291,2,0.6457,0.6457
2,ｻ,1.654,2,0.8268,0.8268
2,ｼ-ｽ,1.189,3,0.3963,0.3963
2,ｾ,2.165,3,0.7218,0.7218
2,ｿ-ﾀ,1.601,2,0.8005,0.8005
2,ﾁ-ﾂ,1.066,2,0.5328,0.5328
2,ﾃ,1.57,2,0.7848,0.7848
2,ﾄ,0.95,2,0.4751,0.4751
2,ﾅ,1.139,2,0.5696,0.5696
2,ﾆ,0.856,2,0.4278,0.4278
3,合計,13.874,35,0.3964,0.4366
3,ｱ,0.839,1,0.8392,0.8392
3,ｲ,0.844,1,0.8442,0.8442
3,ｳ,1.216,2,0.608,0.608
3,ｴ,1.025,2,0.5126,0.5126
3,ｵ,1.161,3,0.3869,0.3869
3,ｶ,0.653,2,0.3266,0.3266
3,ｷ,0.925,2,0.4623,0.4623
3,ｸ,0.528,3,0.1759,0.1759
3,ｹ,0.915,2,0.4573,0.4573
3,ｺ,0.854,2,0.4271,0.4271
3,ｻ,0.332,2,0.1658,0.1658
3,ｼ,0.673,2,0.3367,0.3367
3,ｽ,0.874,3,0.2915,0.2915
3,ｾ,1.146,3,0.3819,0.3819
3,ｿ,1.055,3,0.3518,0.3518
3,ﾀ,0.834,2,0.4171,0.4171
4,合計,15.879,35,0.4537,0.476
4,ｱ,0.61,1,0.6099,0.6099
4,ｲ,0.451,1,0.4505,0.4505
4,ｳ,1.143,2,0.5714,0.5714
4,ｴ,1.308,2,0.6538,0.6538
4,ｵ,1.363,2,0.6813,0.6813
4,ｶ-ｷ,1.846,2,0.9231,0.9231
4,ｸ,0.588,1,0.5879,0.5879
4,ｹ,0.824,2,0.4121,0.4121
4,ｺ-ｻ,0.626,2,0.3132,0.3132
4,ｼ-ｽ,0.89,2,0.4451,0.4451
4,ｾ,1.275,2,0.6374,0.6374
