*** 令和５年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝445358,平均正答率＝0.5448,,,
科目＝国語,総平均点＝105.74,,,,
大問,解答番号,平均点,配点,得点率,正答率
2,ﾂ-ﾄ,0.716,3,0.2387,0.2387
2,ﾅ,0.299,2,0.1494,0.1494
2,ﾆ-ﾊ,0.015,3,0.0049,0.0049
3,合計,10.888,20,0.5444,0.5607
3,ｱ,0.83,1,0.8302,0.8302
3,ｲ,1.564,2,0.7819,0.7819
3,ｳ,1.414,2,0.7068,0.7068
3,ｴ,0.83,2,0.4149,0.4149
3,ｵ,2.424,3,0.8079,0.8079
3,ｶ,1.144,3,0.3813,0.3813
3,ｷ,1.311,3,0.437,0.437
3,ｸ,0.637,2,0.3183,0.3183
3,ｹ,0.735,2,0.3677,0.3677
4,合計,10.733,30,0.3578,0.3578
4,ｱ-ｳ,1.884,3,0.628,0.628
4,ｴ,1.621,3,0.5405,0.5405
4,ｵ,1.773,3,0.5911,0.5911
4,ｶ,1.568,3,0.5226,0.5226
4,ｷ-ｸ,0.9,3,0.3,0.3
4,ｹ-ｺ,0.966,3,0.3221,0.3221
4,ｻ-ｼ,0.718,3,0.2395,0.2395
4,ｽ,1.043,3,0.3476,0.3476
4,ｾ-ﾁ,0.062,3,0.0206,0.0206
4,ﾂ-ﾃ,0.197,3,0.0658,0.0658
問題区分＝本試験,人数＝346628,平均正答率＝0.5573,,,
科目＝数学Ⅰ・数学Ａ,総平均点＝55.65,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.798,30,0.5599,0.5849
1,ｱ-ｲ,1.871,2,0.9356,0.9356
1,ｳ-ｴ,0.949,1,0.949,0.949
1,ｵ-ｶ,1.367,2,0.6836,0.6836
1,ｷ-ｸ,1.326,2,0.6631,0.6631
1,ｹ-ｺ,1.374,3,0.4579,0.4579
1,ｻ,2.345,3,0.7816,0.7816
1,ｼ,1.684,3,0.5614,0.5614
1,ｽ,0.885,2,0.4426,0.4426
1,ｾ-ｿ,0.607,2,0.3036,0.3036
1,ﾀ-ﾁ,1.448,2,0.7242,0.7242
1,ﾂ-ﾄ,2.012,3,0.6705,0.6705
1,ﾅ,0.726,2,0.3631,0.3631
1,ﾆ-ﾊ,0.203,3,0.0677,0.0677
2,合計,18.502,30,0.6167,0.6369
2,ｱ,1.846,2,0.923,0.923
2,ｲ,1.763,2,0.8816,0.8816
2,ｳ,1.425,2,0.7126,0.7126
2,ｴ,2.758,3,0.9192,0.9192
2,ｵ,1.822,3,0.6074,0.6074
2,ｶ,2.11,3,0.7033,0.7033
2,ｷ-ｸ,2.122,3,0.7074,0.7074
2,ｹ-ｺ,1.973,3,0.6575,0.6575
2,ｻ,1.514,3,0.5047,0.5047
2,ｼ-ｿ,0.705,3,0.2351,0.2351
2,ﾀ-ﾁ,0.464,3,0.1546,0.1546
3,合計,10.999,20,0.5499,0.5362
3,ｱ-ｳ,2.641,3,0.8803,0.8803
3,ｴ-ｵ,2.665,3,0.8884,0.8884
3,ｶ-ｷ,1.689,3,0.563,0.563
3,ｸ-ｹ,1.686,3,0.5619,0.5619
3,ｺ,1.461,3,0.4869,0.4869
3,ｻ-ｽ,0.524,2,0.2618,0.2618
3,ｾ-ﾁ,0.334,3,0.1113,0.1113
4,合計,10.624,20,0.5312,0.5578
4,ｱ-ｲ,1.425,2,0.7125,0.7125
4,ｳ-ｶ,2.469,3,0.8229,0.8229
4,ｷ-ｸ,1.675,3,0.5585,0.5585
4,ｹ-ｼ,0.727,3,0.2423,0.2423
4,ｽ-ｿ,1.452,2,0.7261,0.7261
4,ﾀ-ﾁ,1.507,2,0.7533,0.7533
4,ﾂ-ﾅ,1.142,2,0.5708,0.5708
4,ﾆ-ﾉ,0.228,3,0.0758,0.0758
5,合計,7.835,20,0.3918,0.4207
5,ｱ-ｲ,1.675,2,0.8376,0.8376
5,ｳ,1.214,2,0.6072,0.6072
5,ｴ,0.853,3,0.2845,0.2845
5,ｵ,1.134,3,0.3781,0.3781
5,ｶ,1.345,2,0.6724,0.6724
5,ｷ,0.964,3,0.3214,0.3214
5,ｸ-ｺ,0.36,3,0.1201,0.1201
5,ｻ,0.289,2,0.1444,0.1444
問題区分＝本試験,人数＝4845,平均正答率＝0.3822,,,
科目＝数学Ⅱ,総平均点＝37.65,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,12.408,30,0.4136,0.4176
1,ｱ,0.835,1,0.8353,0.8353
1,ｲ,0.57,1,0.5703,0.5703
1,ｳ-ｴ,1.685,2,0.8423,0.8423
1,ｵ,0.899,2,0.4497,0.4497
1,ｶ-ｷ,0.556,2,0.2782,0.2782
1,ｸ-ｹ,0.258,2,0.129,0.129
1,ｺ,0.095,2,0.0477,0.0477
1,ｻ-ｾ,0.006,2,0.0029,0.0029
1,ｿ,0.117,2,0.0584,0.0584
1,ﾀ-ﾁ,0.139,2,0.0696,0.0696
1,ﾂ,2.041,3,0.6805,0.6805
1,ﾃ,1.321,2,0.6603,0.6603
1,ﾄ-ﾅ,1.156,2,0.5781,0.5781
1,ﾆ,0.914,2,0.4568,0.4568
1,ﾇ,1.815,3,0.6052,0.6052
2,合計,13.087,30,0.4362,0.4493
2,ｱ,0.689,1,0.6885,0.6885
2,ｲ-ｴ,2.161,3,0.7203,0.7203
2,ｵ,0.585,1,0.5851,0.5851
2,ｶ,0.574,1,0.574,0.574
2,ｷ,0.469,1,0.4685,0.4685
2,ｸ,0.438,1,0.4382,0.4382
2,ｹ-ｻ,0.307,3,0.1024,0.1024
2,ｼ,0.387,2,0.1936,0.1936
2,ｽ-ｿ,0.16,2,0.0801,0.0801
2,ﾀ-ﾂ,1.702,3,0.5672,0.5672
2,ﾃ-ﾈ,1.957,3,0.6524,0.6524
2,ﾉ,0.997,3,0.3323,0.3323
2,ﾊ,1.677,3,0.5589,0.5589
2,ﾋ,0.985,3,0.3282,0.3282
3,合計,7.356,20,0.3678,0.3523
3,ｱ-ｳ,1.715,2,0.8576,0.8576
3,ｴ,1.768,2,0.8838,0.8838
3,ｵ-ｶ,0.412,1,0.4124,0.4124
3,ｷ-ｸ,0.329,1,0.3288,0.3288
3,ｹ-ｺ,0.132,1,0.1323,0.1323
3,ｻ,0.225,1,0.2252,0.2252
3,ｼ,0.658,2,0.3292,0.3292
3,ｽ,0.857,2,0.4285,0.4285
3,ｾ,0.659,2,0.3296,0.3296
3,ｿ,0.345,2,0.1723,0.1723
3,ﾀ-ﾁ,0.138,2,0.0689,0.0689
3,ﾂ,0.117,2,0.0586,0.0586
4,合計,4.797,20,0.2399,0.281
4,ｱ-ｲ,0.5,1,0.4999,0.4999
4,ｳ,1.273,2,0.6365,0.6365
4,ｴ,0.471,1,0.4708,0.4708
4,ｵ-ｶ,0.457,2,0.2283,0.2283
4,ｷ,0.442,1,0.4417,0.4417
4,ｸ-ｹ,0.618,2,0.3092,0.3092
4,ｺ-ｼ,0.081,3,0.027,0.027
4,ｽ,0.768,2,0.3839,0.3839
4,ｾ-ｿ,0.169,2,0.0844,0.0844
4,ﾀ-ﾂ,0.015,2,0.0076,0.0076
4,ﾃ-ﾅ,0.004,2,0.0019,0.0019
問題区分＝本試験,人数＝316728,平均正答率＝0.5648,,,
科目＝数学Ⅱ・数学Ｂ,総平均点＝61.48,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,18.944,30,0.6315,0.6317
1,ｱ,0.927,1,0.9271,0.9271
1,ｲ,0.762,1,0.7622,0.7622
1,ｳ-ｴ,1.931,2,0.9655,0.9655
1,ｵ,1.538,2,0.7692,0.7692
1,ｶ-ｷ,1.282,2,0.6409,0.6409
1,ｸ-ｹ,1.102,2,0.5508,0.5508
1,ｺ,0.744,2,0.3719,0.3719
1,ｻ-ｾ,0.198,2,0.0989,0.0989
1,ｿ,0.334,2,0.1672,0.1672
1,ﾀ-ﾁ,0.333,2,0.1663,0.1663
1,ﾂ,2.63,3,0.8768,0.8768
1,ﾃ,1.612,2,0.8062,0.8062
1,ﾄ-ﾅ,1.7,2,0.8498,0.8498
